,ID,TERMS (PT-NPT),RELATIONS,PT,MT,code,domain_code,domain
0,c_715c08c0,3D printing,,,3236 information technology and data processing,3236,32,32 education and communications
1,c_715c08c0,3DP,USE,3D printing,3236 information technology and data processing,3236,32,32 education and communications
2,c_83235c0f,5-G,USE,5G,3226 communications,3226,32,32 education and communications
3,c_83235c0f,5G,,,3226 communications,3226,32,32 education and communications
4,434966,AA,USE,emission allowance,5206 environmental policy,5206,52,52 environment
5,594,AAMS countries,,,7231 economic geography,7231,72,72 geography
6,2894,AAR,USE,activity report,3221 documentation,3221,32,32 education and communications
7,434966,AAU,USE,emission allowance,5206 environmental policy,5206,52,52 environment
8,5972,ABB,USE,programme budgeting,2436 public finance and budget policy,2436,24,24 finance
9,3509,ABM Agreement,,,0816 international security,0816,08,08 international relations
10,447917,ACER,USE,European Union Agency for the Cooperation of Energy Regulators,1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
11,450953,ACHPR,USE,African Court of Justice and Human Rights,7616 extra-European organisations,7616,76,76 international organisations
12,450953,ACJ,USE,African Court of Justice and Human Rights,7616 extra-European organisations,7616,76,76 international organisations
13,450953,ACJHR,USE,African Court of Justice and Human Rights,7616 extra-European organisations,7616,76,76 international organisations
14,5083,ACP countries,,,7231 economic geography,7231,72,72 geography
15,4051,ACP-EC Committee of Ambassadors,USE,ACP-EU Committee of Ambassadors,1016 European construction,1016,10,1016 european construction
16,4049,ACP-EC Convention,USE,ACP-EU Convention,1016 European construction,1016,10,1016 european construction
17,4041,ACP-EC Council,USE,ACP-EU Council of Ministers,1016 European construction,1016,10,1016 european construction
18,4041,ACP-EC Council of Ministers,USE,ACP-EU Council of Ministers,1016 European construction,1016,10,1016 european construction
19,5132,ACP-EC Joint Assembly,USE,ACP-EU Joint Assembly,1016 European construction,1016,10,1016 european construction
20,4052,ACP-EC Joint Committee,USE,ACP-EU Joint Committee,1016 European construction,1016,10,1016 european construction
21,1450,ACP-EC institution,USE,ACP-EU institution,1016 European construction,1016,10,1016 european construction
22,5132,ACP-EEC Consultative Assembly,USE,ACP-EU Joint Assembly,1016 European construction,1016,10,1016 european construction
23,4051,ACP-EU Committee of Ambassadors,,,1016 European construction,1016,10,1016 european construction
24,4049,ACP-EU Convention,,,1016 European construction,1016,10,1016 european construction
25,4041,ACP-EU Council of Ministers,,,1016 European construction,1016,10,1016 european construction
26,5132,ACP-EU Joint Assembly,,,1016 European construction,1016,10,1016 european construction
27,4052,ACP-EU Joint Committee,,,1016 European construction,1016,10,1016 european construction
28,442821,ACP-EU cooperation,USE,ACP-EU relationship,1016 European construction,1016,10,1016 european construction
29,1450,ACP-EU institution,,,1016 European construction,1016,10,1016 european construction
30,442821,ACP-EU relationship,,,1016 European construction,1016,10,1016 european construction
31,7415,ACS,USE,Association of Caribbean States,7616 extra-European organisations,7616,76,76 international organisations
32,8542,AD function group,USE,administrator,1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
33,6336,ADB,USE,Asian Development Bank,7616 extra-European organisations,7616,76,76 international organisations
34,4744,ADB Group,USE,African Development Bank,7616 extra-European organisations,7616,76,76 international organisations
35,3700,ADN agreement,,,4821 maritime and inland waterway transport,4821,48,48 transport
36,3700,ADNR agreement,USE,ADN agreement,4821 maritime and inland waterway transport,4821,48,48 transport
37,1195,ADR,USE,ADR agreement,4816 land transport,4816,48,48 transport
38,435469,ADR,USE,alternative dispute resolution,1221 justice,1221,12,12 law
39,1195,ADR agreement,,,4816 land transport,4816,48,48 transport
40,1283,AETR agreement,,,4816 land transport,4816,48,48 transport
41,6222,AFSJ,USE,"area of freedom, security and justice",1016 European construction,1016,10,1016 european construction
42,5530,AGCC,USE,Gulf Cooperation Council,7616 extra-European organisations,7616,76,76 international organisations
43,c_8150867f,AGP,USE,agreement on government procurement,2021 international trade,2021,20,20 trade
44,5172,AIDS,,,2841 health,2841,28,28 social questions
45,c_dcc650ef,AIF,USE,alternative investment,2416 financial institutions and credit,2416,24,24 finance
46,c_dcc650ef,AIFM,USE,alternative investment,2416 financial institutions and credit,2416,24,24 finance
47,1094,ALADI,,,7616 extra-European organisations,7616,76,76 international organisations
48,1105,ALADI countries,,,7231 economic geography,7231,72,72 geography
49,2102,AMCO,USE,African and Mauritian Common Organisation,7616 extra-European organisations,7616,76,76 international organisations
50,c_7dda56e2,AMR,USE,antimicrobial resistance,2841 health,2841,28,28 social questions
51,8300,AMU,USE,Arab Maghreb Union,7616 extra-European organisations,7616,76,76 international organisations
52,3725,APDC,USE,Asian and Pacific Development Centre,7616 extra-European organisations,7616,76,76 international organisations
53,6131,APEC,USE,Asia–Pacific economic cooperation,7616 extra-European organisations,7616,76,76 international organisations
54,6131,APEC,USE,Asia–Pacific economic cooperation,7621 world organisations,7621,76,76 international organisations
55,6205,APEC countries,,,7231 economic geography,7231,72,72 geography
56,6377,APL,USE,anti-personnel weapon,0821 defence,0821,08,08 international relations
57,2094,APO,USE,Asian Productivity Organisation,7616 extra-European organisations,7616,76,76 international organisations
58,4615,APPU,USE,Asian-Pacific Parliamentarians' Union,7616 extra-European organisations,7616,76,76 international organisations
59,448275,ARTEMIS Joint Undertaking,USE,European Joint Undertaking,1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
60,1838,ASEAN,,,7616 extra-European organisations,7616,76,76 international organisations
61,1847,ASEAN countries,,,7231 economic geography,7231,72,72 geography
62,c_433922a6,ASP,USE,cloud computing,3236 information technology and data processing,3236,32,32 education and communications
63,120,ASPAC,USE,Asian and Pacific Council,7616 extra-European organisations,7616,76,76 international organisations
64,8407,AST function group,USE,assistant,1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
65,3248,ATM,USE,electronic banking,2416 financial institutions and credit,2416,24,24 finance
66,5401,ATP Agreement,,,4811 organisation of transport,4811,48,48 transport
67,2202,AU,USE,African Union,7616 extra-European organisations,7616,76,76 international organisations
68,5075,Abruzzi,,,7211 regions of EU Member States,7211,72,72 geography
69,5761,Ad Hoc Group on Immigration,USE,EU body for police and judicial cooperation,1016 European construction,1016,10,1016 european construction
70,4775,Aden protectorate,USE,Yemen,7226 Asia and Oceania,7226,72,72 geography
71,4775,Aden protectorate,USE,Yemen,7231 economic geography,7231,72,72 geography
72,4775,Aden protectorate,USE,Yemen,7236 political geography,7236,72,72 geography
73,c_46e54685,Adriatic Croatia,,,7211 regions of EU Member States,7211,72,72 geography
74,5221,Adriatic Sea,,,5211 natural environment,5211,52,52 environment
75,c_a6b5bad0,Adriatic and Ionian region,,,1616 regions and regional policy,1616,16,16 economics
76,446,Advanced Level,USE,diploma,3216 organisation of teaching,3216,32,32 education and communications
77,4043,Advocate-General (CJUE),USE,member of the Court of Justice (EU),1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
78,4171,Aegean Islands,,,7211 regions of EU Member States,7211,72,72 geography
79,5223,Aegean Sea,,,5211 natural environment,5211,52,52 environment
80,4744,AfDB Group,USE,African Development Bank,7616 extra-European organisations,7616,76,76 international organisations
81,484,Afars and Issas,USE,Djibouti,7221 Africa,7221,72,72 geography
82,484,Afars and Issas,USE,Djibouti,7231 economic geography,7231,72,72 geography
83,484,Afars and Issas,USE,Djibouti,7236 political geography,7236,72,72 geography
84,261,Afghanistan,,,7226 Asia and Oceania,7226,72,72 geography
85,281,Africa,,,7221 Africa,7221,72,72 geography
86,5424,Africa south of the Sahara,USE,sub-Saharan Africa,7221 Africa,7221,72,72 geography
87,6077,African Charter for Human and Peoples' Rights,USE,African Charter on Human and Peoples' Rights,1236 rights and freedoms,1236,12,12 law
88,6077,African Charter on Human and Peoples' Rights,,,1236 rights and freedoms,1236,12,12 law
89,450953,African Court of Justice,USE,African Court of Justice and Human Rights,7616 extra-European organisations,7616,76,76 international organisations
90,450953,African Court of Justice and Human Rights,,,7616 extra-European organisations,7616,76,76 international organisations
91,450953,African Court on Human and Peoples' Rights,USE,African Court of Justice and Human Rights,7616 extra-European organisations,7616,76,76 international organisations
92,4744,African Development Bank,,,7616 extra-European organisations,7616,76,76 international organisations
93,4744,African Development Bank Group,USE,African Development Bank,7616 extra-European organisations,7616,76,76 international organisations
94,2202,African Union,,,7616 extra-European organisations,7616,76,76 international organisations
95,2202,African Unity Organisation,USE,African Union,7616 extra-European organisations,7616,76,76 international organisations
96,2202,African Unity Organization,USE,African Union,7616 extra-European organisations,7616,76,76 international organisations
97,2102,African and Mauritian Common Organisation,,,7616 extra-European organisations,7616,76,76 international organisations
98,2102,African and Mauritian Common Organization,USE,African and Mauritian Common Organisation,7616 extra-European organisations,7616,76,76 international organisations
99,281,African countries,USE,Africa,7221 Africa,7221,72,72 geography
100,5423,African countries with Portuguese as the official language,USE,Portuguese-speaking Africa,7221 Africa,7221,72,72 geography
101,2167,African intergovernmental organisation,USE,African organisation,7616 extra-European organisations,7616,76,76 international organisations
102,2167,African intergovernmental organization,USE,African organisation,7616 extra-European organisations,7616,76,76 international organisations
103,2167,African organisation,,,7616 extra-European organisations,7616,76,76 international organisations
104,2167,African organization,USE,African organisation,7616 extra-European organisations,7616,76,76 international organisations
105,2167,African regional organisation,USE,African organisation,7616 extra-European organisations,7616,76,76 international organisations
106,2167,African regional organization,USE,African organisation,7616 extra-European organisations,7616,76,76 international organisations
107,2102,Afro-Malagasy Organization for Economic Cooperation,USE,African and Mauritian Common Organisation,7616 extra-European organisations,7616,76,76 international organisations
108,2102,Afro-Malagasy Union for Economic Cooperation,USE,African and Mauritian Common Organisation,7616 extra-European organisations,7616,76,76 international organisations
109,447917,Agency for the Cooperation of Energy Regulators,USE,European Union Agency for the Cooperation of Energy Regulators,1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
110,6048,Agricultural Advisory Committee,USE,EU agriculture committee,5606 agricultural policy,5606,56,"56 agriculture, forestry and fisheries"
111,6048,Agricultural Committee of the EC,USE,EU agriculture committee,5606 agricultural policy,5606,56,"56 agriculture, forestry and fisheries"
112,6048,Agricultural Management Committee,USE,EU agriculture committee,5606 agricultural policy,5606,56,"56 agriculture, forestry and fisheries"
113,6252,Ahvenenmaa,USE,Åland,7211 regions of EU Member States,7211,72,72 geography
114,6252,Ahvenenmaa,USE,Åland,7236 political geography,7236,72,72 geography
115,8499,Alba,,,7211 regions of EU Member States,7211,72,72 geography
116,1125,Albania,,,7206 Europe,7206,72,72 geography
117,1125,Albania,,,7231 economic geography,7231,72,72 geography
118,1125,Albania,,,7236 political geography,7236,72,72 geography
119,1177,Alentejo,,,7211 regions of EU Member States,7211,72,72 geography
120,1187,Algarve,,,7211 regions of EU Member States,7211,72,72 geography
121,1196,Algeria,,,7221 Africa,7221,72,72 geography
122,1196,Algeria,,,7231 economic geography,7231,72,72 geography
123,1196,Algeria,,,7236 political geography,7236,72,72 geography
124,5845,Alpine Region,,,1616 regions and regional policy,1616,16,16 economics
125,5845,Alps,USE,Alpine Region,1616 regions and regional policy,1616,16,16 economics
126,1430,Alsace,,,7211 regions of EU Member States,7211,72,72 geography
127,7869,Alytaus apskritis,USE,Alytus county,7211 regions of EU Member States,7211,72,72 geography
128,7869,Alytus county,,,7211 regions of EU Member States,7211,72,72 geography
129,5719,Alzheimer's disease,USE,disease of the nervous system,2841 health,2841,28,28 social questions
130,1587,America,,,7216 America,7216,72,72 geography
131,5799,American Indian,USE,indigenous population,2816 demography and population,2816,28,28 social questions
132,3411,American Samoa,,,7226 Asia and Oceania,7226,72,72 geography
133,3411,American Samoa,,,7231 economic geography,7231,72,72 geography
134,1587,American countries,USE,America,7216 America,7216,72,72 geography
135,2170,American intergovernmental organisation,USE,American organisation,7616 extra-European organisations,7616,76,76 international organisations
136,2170,American intergovernmental organization,USE,American organisation,7616 extra-European organisations,7616,76,76 international organisations
137,2170,American organisation,,,7616 extra-European organisations,7616,76,76 international organisations
138,2170,American organization,USE,American organisation,7616 extra-European organisations,7616,76,76 international organisations
139,2170,American regional organisation,USE,American organisation,7616 extra-European organisations,7616,76,76 international organisations
140,2170,American regional organization,USE,American organisation,7616 extra-European organisations,7616,76,76 international organisations
141,1664,Amnesty International,,,7626 non-governmental organisations,7626,76,76 international organisations
142,8374,Amsterdam Island,USE,French Southern and Antarctic Territories,7241 overseas countries and territories,7241,72,72 geography
143,6142,Amsterdam Treaty,USE,Treaty of Amsterdam,1011 European Union law,1011,10,1011 european union law
144,1873,Andalusia,,,7211 regions of EU Member States,7211,72,72 geography
145,1190,Andean Community,,,7616 extra-European organisations,7616,76,76 international organisations
146,1191,Andean Community countries,,,7231 economic geography,7231,72,72 geography
147,1190,Andean Group,USE,Andean Community,7616 extra-European organisations,7616,76,76 international organisations
148,1191,Andean Group countries,USE,Andean Community countries,7231 economic geography,7231,72,72 geography
149,1190,Andean Pact,USE,Andean Community,7616 extra-European organisations,7616,76,76 international organisations
150,7205,Andean Parliament,,,7616 extra-European organisations,7616,76,76 international organisations
151,1874,Andorra,,,7206 Europe,7206,72,72 geography
152,1874,Andorra,,,7236 political geography,7236,72,72 geography
153,5162,Anglicanism,,,2831 culture and religion,2831,28,28 social questions
154,1876,Angola,,,7221 Africa,7221,72,72 geography
155,1876,Angola,,,7231 economic geography,7231,72,72 geography
156,3402,Anguilla,,,7216 America,7216,72,72 geography
157,3402,Anguilla,,,7241 overseas countries and territories,7241,72,72 geography
158,1983,Antarctic,USE,Antarctica,5211 natural environment,5211,52,52 environment
159,2108,Antarctic Ocean,,,5211 natural environment,5211,52,52 environment
160,1983,Antarctic continent,USE,Antarctica,5211 natural environment,5211,52,52 environment
161,1983,Antarctica,,,5211 natural environment,5211,52,52 environment
162,3401,Antigua and Barbuda,,,7216 America,7216,72,72 geography
163,3401,Antigua and Barbuda,,,7231 economic geography,7231,72,72 geography
164,3401,Antigua and Barbuda,,,7236 political geography,7236,72,72 geography
165,4698,Antiope,USE,broadcast videography,3226 communications,3226,32,32 education and communications
166,2070,Anzus,,,7621 world organisations,7621,76,76 international organisations
167,2070,Anzus Council,USE,Anzus,7621 world organisations,7621,76,76 international organisations
168,2079,Anzus countries,,,7236 political geography,7236,72,72 geography
169,1104,Appenzell,USE,hard cheese,6016 processed agricultural produce,6016,60,60 agri-foodstuffs
170,2570,Apulia,,,7211 regions of EU Member States,7211,72,72 geography
171,2328,Aquitaine,,,7211 regions of EU Member States,7211,72,72 geography
172,1793,Arab Common Market,,,7616 extra-European organisations,7616,76,76 international organisations
173,1794,Arab Common Market countries,,,7231 economic geography,7231,72,72 geography
174,5530,Arab Gulf Cooperation Council,USE,Gulf Cooperation Council,7616 extra-European organisations,7616,76,76 international organisations
175,1657,Arab League,,,7616 extra-European organisations,7616,76,76 international organisations
176,1658,Arab League countries,,,7236 political geography,7236,72,72 geography
177,8300,Arab Maghreb Union,,,7616 extra-European organisations,7616,76,76 international organisations
178,690,Arab Republic of Egypt,USE,Egypt,7221 Africa,7221,72,72 geography
179,690,Arab Republic of Egypt,USE,Egypt,7231 economic geography,7231,72,72 geography
180,690,Arab Republic of Egypt,USE,Egypt,7236 political geography,7236,72,72 geography
181,c_6e703074,Arab countries,USE,Arab world,7236 political geography,7236,72,72 geography
182,2171,Arab intergovernmental organisation,USE,Arab organisation,7616 extra-European organisations,7616,76,76 international organisations
183,2171,Arab intergovernmental organization,USE,Arab organisation,7616 extra-European organisations,7616,76,76 international organisations
184,2171,Arab organisation,,,7616 extra-European organisations,7616,76,76 international organisations
185,2171,Arab organization,USE,Arab organisation,7616 extra-European organisations,7616,76,76 international organisations
186,c_6e703074,Arab region,USE,Arab world,7236 political geography,7236,72,72 geography
187,2171,Arab regional organisation,USE,Arab organisation,7616 extra-European organisations,7616,76,76 international organisations
188,2171,Arab regional organization,USE,Arab organisation,7616 extra-European organisations,7616,76,76 international organisations
189,c_6e703074,Arab states,USE,Arab world,7236 political geography,7236,72,72 geography
190,c_6e703074,Arab world,,,7236 political geography,7236,72,72 geography
191,4121,Arab-African cooperation,,,0811 cooperation policy,0811,08,08 international relations
192,4121,Arab-African dialogue,USE,Arab-African cooperation,0811 cooperation policy,0811,08,08 international relations
193,3501,Arab-Israeli conflict,USE,Palestine question,0816 international security,0816,08,08 international relations
194,8517,Arad,,,7211 regions of EU Member States,7211,72,72 geography
195,2354,Aragon,,,7211 regions of EU Member States,7211,72,72 geography
196,2503,Arctic,,,5211 natural environment,5211,52,52 environment
197,2503,Arctic Circle,USE,Arctic,5211 natural environment,5211,52,52 environment
198,c_764bcd4e,Arctic Council,,,7621 world organisations,7621,76,76 international organisations
199,2109,Arctic Ocean,,,5211 natural environment,5211,52,52 environment
200,2503,Arctic continent,USE,Arctic,5211 natural environment,5211,52,52 environment
201,2525,Argentina,,,7216 America,7216,72,72 geography
202,2525,Argentina,,,7231 economic geography,7231,72,72 geography
203,2525,Argentina,,,7236 political geography,7236,72,72 geography
204,2525,Argentine Republic,USE,Argentina,7216 America,7216,72,72 geography
205,2525,Argentine Republic,USE,Argentina,7231 economic geography,7231,72,72 geography
206,2525,Argentine Republic,USE,Argentina,7236 political geography,7236,72,72 geography
207,8521,Arges,,,7211 regions of EU Member States,7211,72,72 geography
208,601,Armagnac,USE,spirits,6021 beverages and sugar,6021,60,60 agri-foodstuffs
209,5445,Armenia,,,7206 Europe,7206,72,72 geography
210,5445,Armenia,,,7236 political geography,7236,72,72 geography
211,3499,Armenian question,,,0816 international security,0816,08,08 international relations
212,2820,Aruba,,,7216 America,7216,72,72 geography
